Binomial,Realm,TrophicLevel,TrophicNiche,ForagingNiche,Family,Order,Habitat,PrimaryLifestyle,MinLatitude,MaxLatitude,CentroidLatitude,CentroidLongitude,RangeSize,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Secondary1,Tail.Length,Mass
Mirafra_albicauda,Afrotropic,Omnivore,Omnivore,NA,Alaudidae,Passeriformes,Grassland,Terrestrial,-8.46,15.05,1.08,32.67,516863.45,12.7,8.7,4.5,5.9,21.4,78.8,65.6,49,22.2
Mirafra_alopex,Afrotropic,Omnivore,Omnivore,NA,Alaudidae,Passeriformes,Grassland,Terrestrial,-7.94,10.89,1.52,38.64,781225.54,16.2,10.2,4.3,5.4,21.5,82.9,73.6,53,28.7
Mirafra_angolensis,Afrotropic,Omnivore,Omnivore,NA,Alaudidae,Passeriformes,Grassland,Terrestrial,-15.38,-6.38,-11.77,20.6,763784.63,17.5,11.2,4.2,5.3,25.5,79.2,65.5,48.2,36.2
Mirafra_apiata,Afrotropic,Omnivore,Invertivore,Invertivore ground,Alaudidae,Passeriformes,Grassland,Terrestrial,-34.84,-12.99,-24.72,22.35,2016849.04,15.6,9.5,4.3,5.7,24.4,83.9,70.7,56.9,26.9
Mirafra_ashi,Afrotropic,Omnivore,Omnivore,NA,Alaudidae,Passeriformes,Grassland,Terrestrial,2,2.49,2.23,45.52,1696.19,21.2,13.1,4.2,5.2,29.8,85.5,72.6,59.5,36.8
Mirafra_assamica,Indo_Malay,Omnivore,Omnivore,NA,Alaudidae,Passeriformes,Grassland,Terrestrial,20,31.86,26.01,86.13,808359.62,15.1,9.9,4.6,6.8,24.3,79.8,64.3,48.8,26.2
Mirafra_cantillans,Afrotropic,Omnivore,Omnivore,NA,Alaudidae,Passeriformes,Grassland,Terrestrial,NA,NA,NA,NA,NA,12.5,8.1,4.5,5.3,20.6,75,59.8,52.2,18.7
Mirafra_cheniana,Afrotropic,Omnivore,Granivore,Granivore ground,Alaudidae,Passeriformes,Grassland,Terrestrial,-33.01,-19.62,-28.15,27.27,258493.25,12.8,8.3,4.7,5.9,20,73.5,58.3,46.5,29.1
Mirafra_collaris,Afrotropic,Omnivore,Invertivore,Invertivore ground,Alaudidae,Passeriformes,Grassland,Terrestrial,-1.59,9.56,3.51,42.49,319160.76,15.2,9.5,4.5,5.4,23.2,81.5,67.6,54,29.1
Mirafra_cordofanica,Afrotropic,Omnivore,Omnivore,NA,Alaudidae,Passeriformes,Grassland,Terrestrial,9.02,21.79,16.79,0.9,1714275.18,13.7,9.2,4.8,5.7,22.3,83,68.3,64.2,29.1
Mirafra_erythrocephala,Indo_Malay,Omnivore,Omnivore,NA,Alaudidae,Passeriformes,Grassland,Terrestrial,8.56,21.02,15.19,103.14,927241.91,13.9,9.8,4.7,6,25.7,75.6,64,39.2,26.2
Mirafra_erythroptera,Indo_Malay,Omnivore,Omnivore,NA,Alaudidae,Passeriformes,Shrubland,Terrestrial,11.91,33.53,22.55,78.38,2147813.66,13.2,8.5,4.3,5.5,19.4,75,59.4,49.5,21.3
Mirafra_gilletti,Afrotropic,Omnivore,Omnivore,NA,Alaudidae,Passeriformes,Shrubland,Terrestrial,2.42,11.26,7.3,44.61,590017.04,16.3,10.9,4,4.9,20.8,84.5,68,63.8,22.4
Mirafra_hova,Madagascar,Omnivore,Omnivore,NA,Alaudidae,Passeriformes,Shrubland,Terrestrial,-25.61,-11.95,-19.38,46.7,591120.51,13.1,8.8,4.6,5.2,20.5,74.8,59.3,46.2,18.9
Mirafra_hypermetra,Afrotropic,Omnivore,Invertivore,Invertivore ground,Alaudidae,Passeriformes,Grassland,Terrestrial,-5.52,9.96,0.81,38.26,451245.37,21.4,13.8,5.3,6.8,32.6,109,93.5,74.4,61.4
Mirafra_javanica,Australian,Omnivore,Omnivore,NA,Alaudidae,Passeriformes,Grassland,Terrestrial,-39.14,26.29,-16.27,132.85,6656939.34,13.8,9.2,4.8,6.4,21.7,71.8,57.2,48.5,23
Mirafra_microptera,Indo_Malay,Omnivore,Omnivore,NA,Alaudidae,Passeriformes,Grassland,Terrestrial,19.38,24.42,21.54,95.41,91215.72,15,9.6,4.9,5.3,22.4,71.1,61.2,47,26.2
Mirafra_passerina,Afrotropic,Omnivore,Invertivore,Invertivore ground,Alaudidae,Passeriformes,Woodland,Terrestrial,-28.68,-13.14,-20.97,22.32,1870815.46,13.6,8.8,4.7,5.7,20.2,79.8,64.1,53.2,24.7
Mirafra_poecilosterna,Afrotropic,Carnivore,Invertivore,Invertivore ground,Alaudidae,Passeriformes,Grassland,Terrestrial,-4.59,5.65,1.38,39,703693.95,15.5,9.9,3.3,4.6,21.8,85.5,72.8,66.5,24.7
Mirafra_pulpa,Afrotropic,Omnivore,Granivore,Granivore ground,Alaudidae,Passeriformes,Grassland,Terrestrial,-3.92,5.28,-0.02,37.41,42119.97,12.6,8.5,4.8,5.4,19.7,79.4,63.9,53.6,21.9
Mirafra_rufa,Afrotropic,Omnivore,Omnivore,NA,Alaudidae,Passeriformes,Woodland,Terrestrial,10.75,17.24,13.49,19.13,513902.1,14.9,9,4.2,4.8,21.7,82.2,67.5,62,29.1
Mirafra_rufocinnamomea,Afrotropic,Carnivore,Invertivore,Invertivore ground,Alaudidae,Passeriformes,Woodland,Terrestrial,-29.02,15.33,-3.88,22.74,9716191.66,15.2,8.8,3.9,5,22.8,80,68.5,54,26.3
Mirafra_sabota,Afrotropic,Herbivore,Granivore,Granivore ground,Alaudidae,Passeriformes,Grassland,Terrestrial,-33.34,-5.15,-23.72,22.85,2588939.44,16.2,9.7,4,4.7,21.6,80.9,65.9,50.6,24.7
Mirafra_somalica,Afrotropic,Omnivore,Omnivore,NA,Alaudidae,Passeriformes,Grassland,Terrestrial,1.96,10.68,6.99,47.83,124461.29,24.3,15.5,4.2,5.6,30.1,98.5,81.9,69.8,46.6
Mirafra_williamsi,Afrotropic,Omnivore,Omnivore,NA,Alaudidae,Passeriformes,Desert,Terrestrial,0.41,3.74,2.21,37.95,30949.62,14,9.8,5.7,6.6,21.5,83.3,68.6,57.7,29.1
Mitrephanes_olivaceus,Neotropic,Carnivore,Invertivore,Invertivore sally air,Tyrannidae,Passeriformes,Forest,Insessorial,-17.02,-5.12,-11,-73.69,91009.82,12.7,6.8,4.4,2.9,12.2,67.5,52.7,58.2,10
Mitrephanes_phaeocercus,Neotropic,Carnivore,Invertivore,Invertivore sally air,Tyrannidae,Passeriformes,Forest,Insessorial,0.59,30.09,18.48,-96.92,599510.84,12,6.4,4.2,2.6,12.5,68.8,51.4,62.2,8.6
Mitrospingus_cassinii,Neotropic,Omnivore,Omnivore,NA,Thraupidae,Passeriformes,Forest,Insessorial,-2.66,10.88,5.56,-78.04,167653.28,22,12.8,5.2,6.8,24.7,82.2,71.9,72.2,40.4
Mitrospingus_oleagineus,Neotropic,Carnivore,Invertivore,Invertivore glean arboreal,Thraupidae,Passeriformes,Forest,Insessorial,4.49,6.13,5.33,-61.38,38825.74,20.7,11.9,5.5,7.1,25.7,93.4,76.6,84.4,41.3
Mitu_mitu,Neotropic,Herbivore,Frugivore,Fugivore ground,Cracidae,Galliformes,Forest,Terrestrial,NA,NA,NA,NA,NA,59.3,36.1,19.3,44.1,108.3,384.2,358.1,340.2,2850.5
Mitu_salvini,Neotropic,Herbivore,Frugivore,Fugivore ground,Cracidae,Galliformes,Forest,Terrestrial,-5,3.3,-1.55,-74.58,490126.15,56.2,31.9,13.9,30.1,110.8,366.5,336.5,325.5,3100
Mitu_tomentosum,Neotropic,Herbivore,Frugivore,Fugivore ground,Cracidae,Galliformes,Forest,Terrestrial,-3.31,7.92,2.65,-66.51,1247837.5,51.4,28,13.1,27.4,107,364.5,333.6,319.5,2187.6
Mitu_tuberosum,Neotropic,Herbivore,Frugivore,Fugivore ground,Cracidae,Galliformes,Forest,Terrestrial,-18.43,-0.81,-8.36,-62,3902756.34,59.7,35.7,16.4,42.7,109.6,385.4,346.4,329.5,2769.5
Mniotilta_varia,Nearctic,Carnivore,Invertivore,Invertivore bark,Parulidae,Passeriformes,Forest,Insessorial,30.21,65.04,48.07,-92.35,5385503.08,14.6,9.5,2.7,3.2,17,66.8,49.7,47,10.9
Modulatrix_orostruthus,Afrotropic,Carnivore,Invertivore,Invertivore ground,Muscicapidae,Passeriformes,Forest,Terrestrial,-16.34,-4.83,-9.81,36.55,6391.44,19.3,10.1,3.5,3.9,27.5,85.3,73.5,70,32.7
Modulatrix_stictigula,Afrotropic,Omnivore,Omnivore,NA,Muscicapidae,Passeriformes,Forest,Generalist,-10.29,-3.96,-7.61,35.93,70768.87,18.3,9.1,3.2,4,30,78.8,69.6,70,30.5
Mohoua_albicilla,Australian,Carnivore,Invertivore,Invertivore glean arboreal,Acanthizidae,Passeriformes,Forest,Insessorial,-41.61,-36.17,-39.09,175.84,36004.25,12.8,7.1,3,4.6,25.8,71.3,56.4,66,17.6
Mohoua_novaeseelandiae,Australian,Carnivore,Invertivore,Invertivore glean arboreal,Acanthizidae,Passeriformes,Forest,Insessorial,-47.29,-40.5,-43.68,170.49,76987.83,10.8,6.2,2.7,3.7,22.4,61.4,48.3,61.7,12.1
Mohoua_ochrocephala,Australian,Omnivore,Invertivore,Invertivore glean arboreal,Acanthizidae,Passeriformes,Forest,Insessorial,-46.5,-41.01,-45.19,167.84,16919.77,13.9,8,3.6,5.1,30.9,79.4,65,71.4,27.7
Molothrus_aeneus,Neotropic,Omnivore,Granivore,Granivore ground,Icteridae,Passeriformes,Forest,Terrestrial,7.2,35.86,23.63,-99.9,2518193.73,21.9,15.1,6,9.6,29,107.5,80.4,79.8,62.6
Molothrus_armenti,Neotropic,Carnivore,Invertivore,Invertivore ground,Icteridae,Passeriformes,Forest,Terrestrial,10.14,11.14,10.75,-74.99,4138.72,17.9,11.7,4.1,6.9,22.8,94.1,71.1,67.5,67.4
Molothrus_ater,Nearctic,Carnivore,Invertivore,Invertivore ground,Icteridae,Passeriformes,Forest,Terrestrial,17,67.45,43,-101.66,11727469.53,17.1,11.1,5.3,8.8,24.2,102.8,68.9,68.8,40.3
Molothrus_bonariensis,Neotropic,Omnivore,Invertivore,Invertivore ground,Icteridae,Passeriformes,Woodland,Terrestrial,-44.17,28.13,-10.72,-59.54,13210499.69,19,12.5,5.9,7.8,25.7,104.3,79.2,75.5,41.5
Molothrus_oryzivorus,Neotropic,Omnivore,Omnivore,NA,Icteridae,Passeriformes,Forest,Terrestrial,-28.66,19.24,-5.71,-62.05,10872496.45,34.6,21.4,9,10.9,40.8,166.9,114,122.6,181.8
Molothrus_rufoaxillaris,Neotropic,Omnivore,Invertivore,Invertivore ground,Icteridae,Passeriformes,Human Modified,Terrestrial,-43.21,-9.95,-25.13,-56.39,4719929.58,18,11,5,9.2,24.9,112.9,81.7,84.2,47.5
Momotus_aequatorialis,Neotropic,Carnivore,Invertivore,Invertivore sally surface,Momotidae,Coraciiformes,Forest,Insessorial,-15.48,7.09,-2.79,-75.39,97380.48,46.5,33.2,8.8,13.2,30.6,152.2,124.3,269,158
Momotus_mexicanus,Neotropic,Carnivore,Invertivore,Generalist,Momotidae,Coraciiformes,Woodland,Insessorial,14.94,28.29,19.91,-101.63,322967.33,37.2,26.6,9.4,10.1,25.2,115.8,96.2,163.5,75.7
Momotus_momota,Neotropic,Carnivore,Omnivore,NA,Momotidae,Coraciiformes,Forest,Insessorial,-23.69,25.65,-3.79,-63.83,9118368.67,42.8,29.3,9.9,11.9,27.4,134.9,112.3,207.9,115
Monachella_muelleriana,Australian,Carnivore,Invertivore,Invertivore sally air,Petroicidae,Passeriformes,Riverine,Insessorial,-10.55,-0.43,-4.97,141.4,417637.65,14,8.1,4.4,3.8,15.8,95,66.6,57.2,24.5
Monarcha_axillaris,Australian,Carnivore,Invertivore,Invertivore sally air,Monarchidae,Passeriformes,Forest,Insessorial,-10.27,-0.39,-5.91,143.63,118942.75,13.8,7.4,4.4,4.5,18,77.6,63.8,80,15.6
Monarcha_barbatus,Australian,Carnivore,Invertivore,Invertivore glean arboreal,Monarchidae,Passeriformes,Forest,Insessorial,-9.95,-4.66,-7.74,158.02,26291.34,15.9,9.2,4.6,4.5,18.5,80.4,69.4,79.4,21
Monarcha_browni,Australian,Carnivore,Invertivore,Invertivore glean arboreal,Monarchidae,Passeriformes,Forest,Insessorial,-8.83,-7.57,-8.26,157.39,4635.15,16.3,10.1,5,4.8,20.4,84,70.7,75,26.3
Monarcha_castaneiventris,Australian,Carnivore,Invertivore,Invertivore glean arboreal,Monarchidae,Passeriformes,Forest,Insessorial,-10.85,-6.59,-8.92,159.91,21592.19,17.9,11.9,5.7,5.5,17,83.5,69,72.5,27.3
Monarcha_castus,Australian,Carnivore,Invertivore,Invertivore glean arboreal,Monarchidae,Passeriformes,NA,Insessorial,-8.35,-7.1,-7.62,131.4,3794.53,15.7,9.1,3.6,4.5,19.3,66,54,61,26.3
Monarcha_chrysomela,Australian,Carnivore,Invertivore,Generalist,Monarchidae,Passeriformes,Forest,Insessorial,-10.72,0,-5.26,141.05,651592.49,15.5,9.1,4.4,4.3,16.4,71.2,60.4,59.6,15.6
Monarcha_cinerascens,Australian,Carnivore,Invertivore,Invertivore glean arboreal,Monarchidae,Passeriformes,Forest,Insessorial,-11.66,4.55,-3.25,126.73,148476.26,19.6,13.4,6.5,5.8,18,82.2,67,71.8,29.6
Monarcha_erythrostictus,Australian,Carnivore,Invertivore,Invertivore glean arboreal,Monarchidae,Passeriformes,Forest,Insessorial,-7.12,-5.01,-6.19,155.28,9648.73,17.4,11.6,6.1,5.8,18.4,83.5,69.6,70.2,26.3
Monarcha_everetti,Australian,Carnivore,Invertivore,Invertivore glean arboreal,Monarchidae,Passeriformes,Forest,Insessorial,-7.15,-7.01,-7.09,120.68,170.57,15.4,8.9,4.7,4,18.6,68.8,59.5,73,33
Monarcha_frater,Australian,Carnivore,Invertivore,Generalist,Monarchidae,Passeriformes,Forest,Insessorial,-15.1,-0.34,-5.5,141.3,226581.08,17.3,12.6,6.2,5.7,18,84.5,70,68.8,22
Monarcha_godeffroyi,Oceania,Carnivore,Invertivore,Invertivore glean arboreal,Monarchidae,Passeriformes,Forest,Insessorial,9.44,9.64,9.54,138.12,97.97,20.3,12.4,5.3,4.4,22.3,87,71.8,78,26.3
Monarcha_guttula,Australian,Carnivore,Invertivore,Generalist,Monarchidae,Passeriformes,Forest,Insessorial,-11.66,0.04,-5.35,140.97,657660.08,15.8,9.4,4.9,4.6,16.7,76.6,63.5,73.3,16.4
Monarcha_infelix,Australian,Carnivore,Invertivore,Invertivore sally air,Monarchidae,Passeriformes,Forest,Insessorial,-2.44,-1.96,-2.1,146.98,2025.05,17.2,10.3,4.3,4.6,17.4,82,63.4,75.5,26.3
Monarcha_julianae,Australian,Carnivore,Invertivore,Invertivore glean arboreal,Monarchidae,Passeriformes,Forest,Insessorial,-1.26,-1.15,-1.2,129.85,143.74,17.1,11.5,5.6,5,18.4,82.6,68.1,71.7,26.3
Monarcha_leucotis,Australian,Carnivore,Invertivore,Invertivore glean arboreal,Monarchidae,Passeriformes,Shrubland,Insessorial,-31.15,-11.73,-22.03,148.79,312561.63,14.5,9,4,4.4,17.4,67.9,56.8,65.6,11.4
Monarcha_leucurus,Australian,Carnivore,Invertivore,Invertivore glean arboreal,Monarchidae,Passeriformes,Forest,Insessorial,-6,-5.27,-5.66,132.89,1111.79,16,9.9,5.2,5,17.4,77.2,63.5,75.5,26.3
Monarcha_loricatus,Australian,Carnivore,Invertivore,Invertivore glean arboreal,Monarchidae,Passeriformes,Forest,Insessorial,-3.84,-3.05,-3.42,126.61,7963.84,17.2,10.4,4.5,4.9,19,85.4,70.6,81.9,26.3
Monarcha_manadensis,Australian,Carnivore,Invertivore,Generalist,Monarchidae,Passeriformes,Forest,Insessorial,-10.73,-0.34,-4.84,140.88,445281.04,15.2,9.4,5.1,4.6,16,85,69.3,76,22.5
Monarcha_melanopsis,Australian,Carnivore,Invertivore,Invertivore glean arboreal,Monarchidae,Passeriformes,Forest,Insessorial,-39.14,-11.89,-28.07,149.38,448965.64,19.5,12.9,6.5,5.8,17.7,90.8,69.9,76.2,22.7
Monarcha_menckei,Australian,Carnivore,Invertivore,Invertivore glean arboreal,Monarchidae,Passeriformes,Forest,Insessorial,-1.54,-1.32,-1.42,149.61,239.41,15,9.1,4.3,4.4,19.6,71,59.3,67,26.3
Monarcha_mundus,Australian,Carnivore,Invertivore,Invertivore glean arboreal,Monarchidae,Passeriformes,Forest,Insessorial,-8.35,-7.07,-7.64,131.05,4617.6,18.8,13.6,3.8,5.2,19.4,80,66.2,62,26.3
Monarcha_pileatus,Australian,Carnivore,Invertivore,Invertivore glean arboreal,Monarchidae,Passeriformes,Forest,Insessorial,-3.8,2.23,0.03,127.72,20864.03,16.4,8.7,4.8,4.4,18,66,55.6,69,14
Monarcha_richardsii,Australian,Carnivore,Invertivore,Invertivore glean arboreal,Monarchidae,Passeriformes,Forest,Insessorial,-8.83,-7.57,-8.23,157.36,5099.33,17.1,11,5.5,5,17,75.5,62.9,65,26.3
Monarcha_rubiensis,Australian,Carnivore,Invertivore,Invertivore glean arboreal,Monarchidae,Passeriformes,Forest,Insessorial,-9.24,-1.47,-5.19,139.79,243646.73,18.3,10.8,5.9,5.3,17.2,95.5,78.4,84,43
Monarcha_takatsukasae,Oceania,Carnivore,Invertivore,Invertivore glean arboreal,Monarchidae,Passeriformes,Forest,Insessorial,14.92,15.11,15.02,145.64,106.58,17.7,10.6,5,3.7,22.4,64,51.4,70,36
Monarcha_trivirgatus,Australian,Carnivore,Invertivore,Invertivore glean arboreal,Monarchidae,Passeriformes,Forest,Insessorial,-32.35,2.65,-18.17,143.58,545399.69,14.9,9.1,4.3,4.1,16.9,70.1,58.7,68.4,12.7
Monarcha_verticalis,Australian,Carnivore,Invertivore,Invertivore glean arboreal,Monarchidae,Passeriformes,Forest,Insessorial,-6.31,-2.34,-5.13,150.84,42113.45,16.6,10.5,4.7,5,19.1,84.4,70.6,77.8,21.7
Monarcha_viduus,Australian,Carnivore,Invertivore,Invertivore glean arboreal,Monarchidae,Passeriformes,Forest,Insessorial,-10.85,-10.17,-10.55,161.81,3376.33,15,9,5,4.2,19.7,73,61.5,72.9,17.1
Monasa_atra,Neotropic,Carnivore,Invertivore,Invertivore sally surface,Bucconidae,Piciformes,Forest,Insessorial,-3.32,9.11,2.8,-59.4,1731260.77,43,29.7,9.3,12.2,19.8,128.8,102.4,115.8,90.4
Monasa_flavirostris,Neotropic,Carnivore,Invertivore,Invertivore sally surface,Bucconidae,Piciformes,Forest,Insessorial,-14.24,5.22,-5.71,-73.21,785439.52,27.4,21.2,8.1,9.1,16.5,108.5,84.3,105,62.8
Monasa_morphoeus,Neotropic,Carnivore,Invertivore,Invertivore sally surface,Bucconidae,Piciformes,Forest,Insessorial,-20.21,15.3,-5.83,-64.15,5210334.01,37.4,25.9,9.1,11.5,19.4,126,98.4,113.4,87.9
Monasa_nigrifrons,Neotropic,Carnivore,Invertivore,Invertivore sally surface,Bucconidae,Piciformes,Forest,Insessorial,-22.39,3.26,-8.95,-57.44,7021917.73,37.5,28.1,9.5,12.1,21.2,127.8,106.3,118.8,80.7
Monias_benschi,Madagascar,Carnivore,Invertivore,Invertivore ground,Mesitornithidae,Mesitornithiformes,Woodland,Terrestrial,-23.46,-21.47,-22.42,43.67,12321.8,37.6,20.8,4.2,5.3,36.2,119.2,106.5,123,137.9
Monticola_angolensis,Afrotropic,Carnivore,Invertivore,Invertivore ground,Muscicapidae,Passeriformes,Woodland,Terrestrial,-20.82,-1.23,-12.18,27.61,2218343.4,22.4,12.4,5,6.2,25.3,96.2,77.3,68,44.4
Monticola_brevipes,Afrotropic,Carnivore,Invertivore,Invertivore ground,Muscicapidae,Passeriformes,Shrubland,Terrestrial,-33.36,-11.96,-24.47,19.98,1043690.36,22.3,14.2,5,5,22.6,101.7,78.8,61.6,33
Monticola_cinclorhynchus,Indo_Malay,Carnivore,Invertivore,Generalist,Muscicapidae,Passeriformes,Forest,Insessorial,26.82,38.04,32.37,77.74,406005.35,21.3,12.8,4.6,5.2,22.9,96,72.1,67.2,36
Monticola_erythronotus,Madagascar,Omnivore,Omnivore,NA,Muscicapidae,Passeriformes,Forest,Insessorial,-12.71,-12.44,-12.57,49.17,377.22,18.4,10,4.2,4.8,25.5,78.2,66.9,63,28.3
Monticola_explorator,Afrotropic,Omnivore,Invertivore,Invertivore ground,Muscicapidae,Passeriformes,Grassland,Generalist,-34.84,-24.68,-30.05,26.93,368644.24,22.6,13.2,4.6,5.1,33.1,97.2,75.1,60,44.4
Monticola_gularis,Palearctic,Carnivore,Invertivore,Invertivore ground,Muscicapidae,Passeriformes,Forest,Terrestrial,34.48,55.52,48.22,126.79,2211022.26,19.9,11.2,4.2,5.8,23.8,96,66.4,66.2,34.6
Monticola_imerinus,Madagascar,Omnivore,Frugivore,Fugivore glean,Muscicapidae,Passeriformes,Shrubland,Generalist,-25.61,-21.74,-24.19,44.43,18846.5,21,12.8,4.1,5,25.8,79.2,66.6,65.2,28.3
Monticola_rufiventris,Palearctic,Carnivore,Invertivore,Invertivore ground,Muscicapidae,Passeriformes,Forest,Generalist,18.7,34.65,27.68,104.86,2361111.08,24,13.7,5,6.4,26.6,120.5,91.8,99,53.2
Monticola_rufocinereus,Afrotropic,Carnivore,Invertivore,Invertivore sally ground,Muscicapidae,Passeriformes,Rock,Insessorial,-3.57,20.68,8.8,39.02,583391.08,18.1,11.1,4.3,4.6,23,77.8,66.3,60.2,24
Monticola_rupestris,Afrotropic,Omnivore,Omnivore,NA,Muscicapidae,Passeriformes,Shrubland,Generalist,-34.84,-22.63,-29.14,27.6,557569.05,26,15.5,5.3,6.3,29.9,110.5,87.9,76.5,61.4
Monticola_saxatilis,Palearctic,Carnivore,Invertivore,Invertivore sally ground,Muscicapidae,Passeriformes,Rock,Insessorial,28.43,54.81,42.87,77.61,8709224.99,23.6,14.1,4.8,5.3,28.4,120.5,75.8,64.5,50.3
Monticola_sharpei,Madagascar,Omnivore,Omnivore,NA,Muscicapidae,Passeriformes,Forest,Insessorial,-25.07,-13.26,-19.25,47.26,242865.01,18.1,10.3,4.1,4.6,24.1,75.1,62.1,59.4,24.8
Monticola_solitarius,Palearctic,Carnivore,Omnivore,NA,Muscicapidae,Passeriformes,Rock,Insessorial,-3.3,50.34,33.99,80.36,9788977.12,27.2,15.7,5.3,6.1,28.1,120.3,86.4,85.3,53.6
Montifringilla_adamsi,Palearctic,Herbivore,Granivore,Granivore ground,Passeridae,Passeriformes,Desert,Terrestrial,27.31,36.76,32.2,93.82,980500.67,14,11.5,7.5,7.7,20.8,108.2,71.5,66.2,50
Montifringilla_blanfordi,Palearctic,Herbivore,Granivore,Granivore ground,Passeridae,Passeriformes,Grassland,Terrestrial,27.58,31.69,29.07,88.18,125113.77,12.1,9,7.9,8.8,18.7,92.9,59.3,54.4,37.9
Montifringilla_davidiana,Palearctic,Herbivore,Granivore,Granivore ground,Passeridae,Passeriformes,Grassland,Terrestrial,36.17,53.97,45.73,105.68,2260394.82,11.2,8.7,7.3,8.1,15.9,83.5,55.4,49,21.2
Montifringilla_nivalis,Palearctic,Herbivore,Granivore,Granivore ground,Passeridae,Passeriformes,Rock,Terrestrial,28.63,51.43,39.09,76.63,4344468.8,16.2,12.3,7.5,8.7,21.5,118.2,74.7,71.3,36.9
Montifringilla_ruficollis,Palearctic,Herbivore,Granivore,Granivore ground,Passeridae,Passeriformes,Grassland,Terrestrial,27.67,39.65,32.89,91.87,1758725.41,12.9,9.4,7,8.3,20.5,91.9,59.9,51.2,22.8
Montifringilla_taczanowskii,Palearctic,Omnivore,Granivore,Granivore ground,Passeridae,Passeriformes,Grassland,Terrestrial,27.79,39.89,33.09,94.62,1477066.84,14.1,11.3,7.3,8.4,23.7,103.4,74.5,68.2,50
Montifringilla_theresae,Palearctic,Herbivore,Granivore,Granivore ground,Passeridae,Passeriformes,Rock,Terrestrial,32.37,36.22,34.32,66.28,128053.78,14.7,12.1,7.9,8.8,19.6,89.2,60.9,51.5,24.3
Morococcyx_erythropygus,Neotropic,Carnivore,Invertivore,Invertivore glean arboreal,Cuculidae,Cuculiformes,Shrubland,Insessorial,9.55,24.2,16.81,-95.85,358833.18,25.2,14.9,5.7,7.1,35,99,90.8,125.2,64.5
Morphnus_guianensis,Neotropic,Carnivore,Vertivore,Vertivore air to surface,Accipitridae,Accipitriformes,Forest,Generalist,-29.71,17.82,-7.66,-57.64,11702782.03,49.9,30.3,13.8,21.7,80.8,465,358.6,375.5,1750
Morus_bassanus,Palearctic,Carnivore,Aquatic predator,Aquatic plunge,Sulidae,Suliformes,Marine,Aerial,16.59,73.73,49.75,-26.89,18270100.05,98.1,98.1,24.4,32.5,60,484,183.5,193.8,2998.7
Morus_capensis,Afrotropic,Carnivore,Aquatic predator,Aquatic plunge,Sulidae,Suliformes,Marine,Aerial,-33.84,-25.72,-28.73,17.1,2.93,91,91,23,29.1,59.3,449.8,180.8,173,2643.4
Morus_serrator,Australian,Carnivore,Aquatic predator,Aquatic plunge,Sulidae,Suliformes,Marine,Aerial,-46.68,-23.48,-39.73,152.63,10238.62,87,87,22.9,29.3,53.4,453.8,174.2,200.5,2350
Motacilla_aguimp,Afrotropic,Carnivore,Invertivore,Invertivore ground,Motacillidae,Passeriformes,Riverine,Terrestrial,-34.21,23.83,-4.59,22.85,11321309.75,17.8,10.5,3.5,3.8,24.9,91.1,68,95,27
Motacilla_alba,Palearctic,Carnivore,Invertivore,Invertivore ground,Motacillidae,Passeriformes,Human Modified,Terrestrial,22.95,76,52.86,81.67,39488711.64,16.2,9.6,3.4,3.5,23.4,87.2,60.2,88.3,23.9
Motacilla_capensis,Afrotropic,Carnivore,Invertivore,Invertivore ground,Motacillidae,Passeriformes,Wetland,Terrestrial,-34.84,2.61,-20.62,23.12,3891210.17,16.4,10.2,3.2,3.6,23.3,81,60,85.2,20.8
Motacilla_cinerea,Palearctic,Carnivore,Invertivore,Invertivore ground,Motacillidae,Passeriformes,Riverine,Terrestrial,21.89,70.42,52.19,88.74,19613139.17,16.4,10.8,3.1,3,18.7,81.6,52,89.2,17.1
Motacilla_citreola,Palearctic,Carnivore,Aquatic predator,Aquatic ground,Motacillidae,Passeriformes,Wetland,Terrestrial,26.07,74.32,52.43,81.65,16401945.75,15.6,9.6,3.1,3.5,24.6,85.9,61.7,85.2,19.1
Motacilla_clara,Afrotropic,Carnivore,Invertivore,Invertivore ground,Motacillidae,Passeriformes,Forest,Terrestrial,-33.58,15.06,-6.04,26.3,3122296.6,17.3,10.2,3.7,3.5,20.9,84.4,61.8,98.6,17.9
Motacilla_flava,Palearctic,Carnivore,Invertivore,Invertivore ground,Motacillidae,Passeriformes,Grassland,Terrestrial,17.62,72.89,54.94,75.35,28413443.56,15.9,9.5,3.3,3.4,23.7,79.2,53,67.2,17.7
Motacilla_flaviventris,Madagascar,Carnivore,Invertivore,Invertivore ground,Motacillidae,Passeriformes,Riverine,Terrestrial,-25.61,-11.95,-19.38,46.7,591120.51,16.5,9.7,3.4,3.8,22.5,81.2,59.7,87.1,22.5
Motacilla_grandis,Palearctic,Carnivore,Invertivore,Invertivore ground,Motacillidae,Passeriformes,Riverine,Terrestrial,30.99,45.52,37.55,137.02,413664.86,18,11.2,2.9,3.8,25.6,93.6,66.7,101,30.2
Motacilla_madaraspatensis,Indo_Malay,Carnivore,Invertivore,Invertivore ground,Motacillidae,Passeriformes,Riverine,Terrestrial,8.07,34.17,22.38,79.18,2810164.27,18.7,11.8,3.6,4,25.8,96.4,71.6,106,30.5
